method	network	commit	batch_size	opt_gap_mean	eq_violation_l1_mean	ineq_violation_l1_mean	merit_mean	avg_inference_time	status	description	save_dir	eval_summary	run_log
penalty	LocalContextMLPv2	0f3cdbd	256	50.70271461	0.14096363	0.00902309	150012.88635704	0.00058007	discard	set penalty.lr=0.00007	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-233306_penalty_seed2025_e1000_lr7e-05_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-233306_penalty_seed2025_e1000_lr7e-05_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter009-20260414-233301.log
penalty	LocalContextMLPv2	3aa4da7	256	55.8277877	0.08645946	0.00563026	92116.7732068	0.00057942	discard	set LocalContextMLPv2.local_delta_scale=0.12	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-233804_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.12	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-233804_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.12/test_summary.yaml	logs/autoresearch/iter010-20260414-233759.log
penalty	LocalContextMLPv2	e208ddd	256	74.92184562	0.08600481	0.01127975	97314.91814461	0.00061247	discard	set num_layers=6	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-234301_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-234301_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter011-20260414-234256.log
penalty	LocalContextMLPv2	e1cb0a9	256	67.49217023	0.07285182	0.00172199	74602.87255101	0.000579	discard	set hidden_dim=896	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-234920_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-234920_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter012-20260414-234915.log
penalty	LocalContextMLPv2	0c195c1	256	34.08455228	0.08182776	0.00200101	83852.0438111	0.00059405	discard	set penalty.num_epochs=800	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-235348_penalty_seed2025_e800_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-235348_penalty_seed2025_e800_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter013-20260414-235344.log
penalty	LocalContextMLPv2	0b35896	256	61.58344516	0.09526261	0.00140882	96699.4703884	0.00057045	discard	set dropout=0.3	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-235746_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-235746_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter014-20260414-235742.log
penalty	LocalContextMLPv2	075c855	256	31.1907318	0.05766042	0.00502582	62709.00873331	0.0005731	keep	set penalty.lr=0.0002	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-000243_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-000243_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter015-20260415-000239.log
penalty	LocalContextMLPv2	14d364d	256	30.76093905	0.06050526	0.00712888	67656.84089894	0.00058681	discard	set penalty.ineq_pen_weight=40	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-000739_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-000739_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter016-20260415-000735.log
penalty	LocalContextMLPv2	61964dd	256	30.19213269	0.05140121	0.00867922	60103.02815762	0.00058538	keep	set batch_size=384	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-001236_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-001236_penalty_seed2025_e1000_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter017-20260415-001232.log
penalty	LocalContextMLPv2	5fd88fe	256	29.82215524	0.04634368	0.00993992	56306.13415664	0.00058427	keep	set penalty.num_epochs=1200	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-001809_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260415-001809_penalty_seed2025_e1200_lr2e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter018-20260415-001805.log
